ds_sigla	no_titulo	no_estrato
NLDB	International Conference on Application of Natural Language to Information Systems	B1
NordiCHI	Nordic Conference on Human-Computer Interaction	B1
NTMS	IFIP International Conference on New Technologies, Mobility and Security	B1
OFC	IEEE Optical Fiber Communication Conference	B1
OPODIS	International Conference on Principles of Distributed Systems	B1
OzCHI	Australian Conference on Human-Computer Interaction	B1
P2P	International Conference on Peer-to-Peer Computing	B1
PAAMS	International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability	B1
PACIS	Pacific Asia Conference on Information Systems	B1
PACT	International Conference on Parallel Computing Technologies	B1
PADS	ACM SIGSIM Conference on Principles of Advanced Discrete Simulation	B1
ParCO	International Conference on Parallel Computing	B1
PCS	Picture Coding Symposium	B1
PDCAT	International Conference on Parallel and Distributed Computing, Applications and Technologies	B1
PESGM	IEEE Power & Energy Society General Meeting	B1
PETRA	ACM International Conference on PErvasive Technologies Related to Assistive Environments	B1
PPDP	International Symposium on Principles and Practice of Declarative Programming	B1
PPSN	International Conference on Parallel Problem Solving from Nature	B1
PRDC	Pacific Rim International Symposium on Dependable Computing	B1
PROFES	International Conference on Product-Focused Software Process Improvement	B1
PST	International Conference on Privacy, Security and Trust	B1
QEST	International Conference on Quantitative Evaluation of Systems	B1
QoMEX	International Workshop on Quality of Multimedia Experience	B1
RAMS	Annual Reliability and Maintainability Symposium	B1
RANLP	International Conference on Recent Advances in Natural Language Processing	B1
RCIS	International Conference on Research Challenges in Information Science	B1
RECONFIG	International Conference on Reconfigurable Computing and FPGAs	B1
RECOSOC	International Symposium on Reconfigurable Communication-centric Systems-on-Chip	B1
REFSQ	International Working Conference on Requirements Engineering: Foundations for Software Quality	B1
RFID	IEEE International Conference on RFID	B1
ROBOCUP	Robocup International Symposium	B1
RTCSA	International Conference on Embedded and Real-Time Computing Systems and Applications	B1
RuleML	International Web Rule Symposium	B1
SACI	IEEE International Symposium on Applied Computational Intelligence and Informatics	B1
SAFECOMP	International Conference on Computer Safety, Reliability, and Security	B1
SAMOS	International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation	B1
SAS	IEEE Sensors Applications Symposium	B1
SASO	International Conference on Self-Adaptive and Self-Organizing Systems	B1
SBAC-PAD	International Symposium on Computer Architecture and High Performance Computing	B1
SBIE	Simpósio Brasileiro de Informática na Educação	B1
SCAM	IEEE International Working Conference on Source Code Analysis and Manipulation	B1
SEC	International Conference on ICT Systems Security and Privacy Protection	B1
SEFM	International Conference on Software Engineering and Formal Methods	B1
SEKE	International Conference on Software Engineering and Knowledge Engineering	B1
SIBGRAPI	Conference on Graphics, Patterns and Images	B1
SIMUTOOLS	International Conference on Simulation Tools and Techniques	B1
SMARTGRIDCOMM	IEEE International Conference on Smart Grid Communications	B1
